,char1,char2,global_cluster1,global_cluster2,monologue_cluster1,monologue_cluster2,onelistener_cluster1,onelistener_cluster2,multilistener_cluster1,multilistener_cluster2,survey1,survey2,survey3,survey4,survey5,survey6,survey7,survey8,survey9,survey10,survey11,survey_mean_score,global_cluster_comparison,monologue_cluster_comparison,onelistener_cluster_comparison,multilistener_cluster_comparison,global_cluster_performance,monologue_cluster_performance,onelistener_cluster_performance,multilistener_cluster_performance
다림_8월의 크리스마스_정원_8월의 크리스마스,다림_8월의 크리스마스,정원_8월의 크리스마스,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,,,,0.0,,,1.0,,,1.0,0.5,1.0,0.0,1.0,1.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
다림_8월의 크리스마스_강은표_고지전,다림_8월의 크리스마스,강은표_고지전,0.0,0.0,0.0,2.0,0.0,3.0,2.0,2.0,1.0,,,,,,,,,1.0,,1.0,1.0,0.0,0.0,1.0,1.0,0.2928932188134524,0.2928932188134524,1.0
다림_8월의 크리스마스_김수혁_고지전,다림_8월의 크리스마스,김수혁_고지전,0.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,,,,,,,,,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,0.2928932188134524,1.0,0.2928932188134524
다림_8월의 크리스마스_민재_남극일기,다림_8월의 크리스마스,민재_남극일기,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2928932188134524,0.2928932188134524
다림_8월의 크리스마스_도형_남극일기,다림_8월의 크리스마스,도형_남극일기,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2928932188134524,1.0,1.0
다림_8월의 크리스마스_화녀_다찌마와 Lee,다림_8월의 크리스마스,화녀_다찌마와 Lee,0.0,2.0,0.0,3.0,0.0,3.0,2.0,1.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
다림_8월의 크리스마스_충녀_다찌마와 Lee,다림_8월의 크리스마스,충녀_다찌마와 Lee,0.0,0.0,0.0,2.0,0.0,3.0,2.0,3.0,,,,,,,,1.0,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.2928932188134524,0.2928932188134524,0.2928932188134524
다림_8월의 크리스마스_리_다찌마와 Lee,다림_8월의 크리스마스,리_다찌마와 Lee,0.0,0.0,0.0,2.0,0.0,3.0,2.0,2.0,,,,,,,,1.0,,,,1.0,1.0,0.0,0.0,1.0,1.0,0.2928932188134524,0.2928932188134524,1.0
다림_8월의 크리스마스_고건수_끝까지 간다,다림_8월의 크리스마스,고건수_끝까지 간다,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
다림_8월의 크리스마스_박창민_끝까지 간다,다림_8월의 크리스마스,박창민_끝까지 간다,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,,1.0,,0.5,1.0,0.0,1.0,0.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
다림_8월의 크리스마스_대수_올드보이,다림_8월의 크리스마스,대수_올드보이,0.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2928932188134524
다림_8월의 크리스마스_미도_올드보이,다림_8월의 크리스마스,미도_올드보이,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,0.0,1.0,0.0,1.0,0.2928932188134524,1.0,0.2928932188134524
다림_8월의 크리스마스_우진_올드보이,다림_8월의 크리스마스,우진_올드보이,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,,1.0,,0.5,1.0,0.0,1.0,0.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
다림_8월의 크리스마스_철수_내 머리 속의 지우개,다림_8월의 크리스마스,철수_내 머리 속의 지우개,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,,,,0.0,,,0.0,,,1.0,0.5,1.0,0.0,1.0,1.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
다림_8월의 크리스마스_수진_내 머리 속의 지우개,다림_8월의 크리스마스,수진_내 머리 속의 지우개,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,,,,0.0,,,1.0,,,1.0,0.5,1.0,0.0,1.0,1.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
다림_8월의 크리스마스_주석_가족,다림_8월의 크리스마스,주석_가족,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,,,0.0,,,,,,1.0,0.5,1.0,0.0,1.0,1.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
다림_8월의 크리스마스_정환_가족,다림_8월의 크리스마스,정환_가족,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2928932188134524,1.0,1.0
다림_8월의 크리스마스_정은_가족,다림_8월의 크리스마스,정은_가족,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,,,,0.0,,,,,,1.0,0.5,1.0,1.0,1.0,1.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
다림_8월의 크리스마스_나난_싱글즈,다림_8월의 크리스마스,나난_싱글즈,0.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,,,,,1.0,,,,,,0.0,0.5,0.0,0.0,0.0,1.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
다림_8월의 크리스마스_동미_싱글즈,다림_8월의 크리스마스,동미_싱글즈,0.0,0.0,0.0,2.0,0.0,3.0,2.0,2.0,,,,,0.0,,,,,,1.0,0.5,1.0,0.0,0.0,1.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
다림_8월의 크리스마스_정준_싱글즈,다림_8월의 크리스마스,정준_싱글즈,0.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
다림_8월의 크리스마스_수헌_싱글즈,다림_8월의 크리스마스,수헌_싱글즈,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,,,,,0.0,,,,,,1.0,0.5,1.0,0.0,1.0,0.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
정원_8월의 크리스마스_강은표_고지전,정원_8월의 크리스마스,강은표_고지전,0.0,0.0,2.0,2.0,0.0,3.0,2.0,2.0,0.0,,,,,,,,,1.0,,0.5,1.0,1.0,0.0,1.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
정원_8월의 크리스마스_김수혁_고지전,정원_8월의 크리스마스,김수혁_고지전,0.0,3.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,,,,,,,,,0.0,,0.5,0.0,0.0,0.0,1.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
정원_8월의 크리스마스_민재_남극일기,정원_8월의 크리스마스,민재_남극일기,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2928932188134524,0.2928932188134524
정원_8월의 크리스마스_도형_남극일기,정원_8월의 크리스마스,도형_남극일기,0.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
정원_8월의 크리스마스_화녀_다찌마와 Lee,정원_8월의 크리스마스,화녀_다찌마와 Lee,0.0,2.0,2.0,3.0,0.0,3.0,2.0,1.0,,,,,,,,1.0,,,,1.0,0.0,0.0,0.0,0.0,0.2928932188134524,0.2928932188134524,0.2928932188134524,0.2928932188134524
정원_8월의 크리스마스_충녀_다찌마와 Lee,정원_8월의 크리스마스,충녀_다찌마와 Lee,0.0,0.0,2.0,2.0,0.0,3.0,2.0,3.0,,,,,,,,0.0,,,,0.0,1.0,1.0,0.0,0.0,0.2928932188134524,0.2928932188134524,1.0,1.0
정원_8월의 크리스마스_리_다찌마와 Lee,정원_8월의 크리스마스,리_다찌마와 Lee,0.0,0.0,2.0,2.0,0.0,3.0,2.0,2.0,,,,,,,,0.0,,,,0.0,1.0,1.0,0.0,1.0,0.2928932188134524,0.2928932188134524,1.0,0.2928932188134524
정원_8월의 크리스마스_고건수_끝까지 간다,정원_8월의 크리스마스,고건수_끝까지 간다,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,,,,1.0,,0.5,1.0,0.0,1.0,1.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
정원_8월의 크리스마스_박창민_끝까지 간다,정원_8월의 크리스마스,박창민_끝까지 간다,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2928932188134524
정원_8월의 크리스마스_대수_올드보이,정원_8월의 크리스마스,대수_올드보이,0.0,2.0,2.0,1.0,0.0,3.0,2.0,2.0,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2928932188134524
정원_8월의 크리스마스_미도_올드보이,정원_8월의 크리스마스,미도_올드보이,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2928932188134524
정원_8월의 크리스마스_우진_올드보이,정원_8월의 크리스마스,우진_올드보이,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2928932188134524
정원_8월의 크리스마스_철수_내 머리 속의 지우개,정원_8월의 크리스마스,철수_내 머리 속의 지우개,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,,,,1.0,,,1.0,,,1.0,0.75,1.0,1.0,1.0,1.0,0.8232233047033631,0.8232233047033631,0.8232233047033631,0.8232233047033631
정원_8월의 크리스마스_수진_내 머리 속의 지우개,정원_8월의 크리스마스,수진_내 머리 속의 지우개,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,,,,0.0,,,1.0,,,1.0,0.75,1.0,1.0,1.0,1.0,0.8232233047033631,0.8232233047033631,0.8232233047033631,0.8232233047033631
정원_8월의 크리스마스_주석_가족,정원_8월의 크리스마스,주석_가족,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,,,,0.0,,,,,,1.0,0.5,1.0,1.0,1.0,1.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
정원_8월의 크리스마스_정환_가족,정원_8월의 크리스마스,정환_가족,0.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
정원_8월의 크리스마스_정은_가족,정원_8월의 크리스마스,정은_가족,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,,,,,0.0,,,,,,1.0,0.5,1.0,0.0,1.0,1.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
정원_8월의 크리스마스_나난_싱글즈,정원_8월의 크리스마스,나난_싱글즈,0.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2928932188134524
정원_8월의 크리스마스_동미_싱글즈,정원_8월의 크리스마스,동미_싱글즈,0.0,0.0,2.0,2.0,0.0,3.0,2.0,2.0,,,,,0.0,,,,,,1.0,0.5,1.0,1.0,0.0,1.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
정원_8월의 크리스마스_정준_싱글즈,정원_8월의 크리스마스,정준_싱글즈,0.0,3.0,2.0,2.0,0.0,1.0,2.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2928932188134524,1.0,1.0
정원_8월의 크리스마스_수헌_싱글즈,정원_8월의 크리스마스,수헌_싱글즈,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,,,,,0.0,,,,,,1.0,0.5,1.0,0.0,1.0,0.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
강은표_고지전_김수혁_고지전,강은표_고지전,김수혁_고지전,0.0,3.0,2.0,0.0,3.0,3.0,2.0,2.0,0.0,,,0.0,,1.0,,,,,,0.3333333333333333,0.0,0.0,1.0,1.0,0.7642977396044841,0.7642977396044841,0.5285954792089682,0.5285954792089682
강은표_고지전_희봉_괴물,강은표_고지전,희봉_괴물,0.0,1.0,2.0,0.0,3.0,2.0,2.0,0.0,,,,1.0,,0.0,,,,,,0.5,0.0,0.0,0.0,0.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
강은표_고지전_강두_괴물,강은표_고지전,강두_괴물,0.0,3.0,2.0,0.0,3.0,1.0,2.0,0.0,,,,0.0,,1.0,,,,,,0.5,0.0,0.0,0.0,0.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
강은표_고지전_현서_괴물,강은표_고지전,현서_괴물,0.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,,,,0.0,,0.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.2928932188134524,1.0,1.0,1.0
강은표_고지전_남일_괴물,강은표_고지전,남일_괴물,0.0,3.0,2.0,0.0,3.0,1.0,2.0,0.0,,,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
강은표_고지전_남주_괴물,강은표_고지전,남주_괴물,0.0,3.0,2.0,2.0,3.0,1.0,2.0,0.0,,,,1.0,,0.0,,,,,,0.5,0.0,1.0,0.0,0.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
강은표_고지전_고건수_끝까지 간다,강은표_고지전,고건수_끝까지 간다,0.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,1.0,,,0.0,,0.0,,,,,,0.3333333333333333,1.0,0.0,0.0,1.0,0.5285954792089682,0.7642977396044841,0.7642977396044841,0.5285954792089682
강은표_고지전_박창민_끝까지 간다,강은표_고지전,박창민_끝까지 간다,0.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,1.0,,,0.0,,0.0,,,,,,0.3333333333333333,1.0,1.0,0.0,0.0,0.5285954792089682,0.5285954792089682,0.7642977396044841,0.7642977396044841
강은표_고지전_대수_올드보이,강은표_고지전,대수_올드보이,0.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,,,0.0,,0.0,,,,,,0.3333333333333333,0.0,0.0,1.0,1.0,0.7642977396044841,0.7642977396044841,0.5285954792089682,0.5285954792089682
강은표_고지전_미도_올드보이,강은표_고지전,미도_올드보이,0.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,0.0,,,0.0,,0.0,,,,,,0.0,1.0,1.0,0.0,0.0,0.2928932188134524,0.2928932188134524,1.0,1.0
강은표_고지전_우진_올드보이,강은표_고지전,우진_올드보이,0.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,0.0,,,0.0,,0.0,,,,,,0.0,1.0,1.0,0.0,0.0,0.2928932188134524,0.2928932188134524,1.0,1.0
강은표_고지전_철수_내 머리 속의 지우개,강은표_고지전,철수_내 머리 속의 지우개,0.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2928932188134524,1.0
강은표_고지전_수진_내 머리 속의 지우개,강은표_고지전,수진_내 머리 속의 지우개,0.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,0.0,,,,,,,,,1.0,,0.5,1.0,1.0,0.0,1.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
김수혁_고지전_희봉_괴물,김수혁_고지전,희봉_괴물,3.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,,,,0.0,,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.2928932188134524,1.0,1.0
김수혁_고지전_강두_괴물,김수혁_고지전,강두_괴물,3.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,,,,1.0,,0.0,,,,,,0.5,1.0,1.0,0.0,0.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
김수혁_고지전_현서_괴물,김수혁_고지전,현서_괴물,3.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,,,,0.0,,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.2928932188134524,1.0,1.0
김수혁_고지전_남일_괴물,김수혁_고지전,남일_괴물,3.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.2928932188134524,0.2928932188134524
김수혁_고지전_남주_괴물,김수혁_고지전,남주_괴물,3.0,3.0,0.0,2.0,3.0,1.0,2.0,0.0,,,,0.0,,1.0,,,,,,0.5,1.0,0.0,0.0,0.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
김수혁_고지전_고건수_끝까지 간다,김수혁_고지전,고건수_끝까지 간다,3.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,,,1.0,,0.0,,,,,,0.3333333333333333,0.0,1.0,0.0,1.0,0.7642977396044841,0.5285954792089682,0.7642977396044841,0.5285954792089682
김수혁_고지전_박창민_끝까지 간다,김수혁_고지전,박창민_끝까지 간다,3.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,1.0,,,0.0,,0.0,,,,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.7642977396044841,0.7642977396044841,0.7642977396044841,0.7642977396044841
김수혁_고지전_대수_올드보이,김수혁_고지전,대수_올드보이,3.0,2.0,0.0,1.0,3.0,3.0,2.0,2.0,0.0,,,0.0,,0.0,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2928932188134524,0.2928932188134524
김수혁_고지전_미도_올드보이,김수혁_고지전,미도_올드보이,3.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,1.0,,,0.0,,0.0,,,,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.7642977396044841,0.7642977396044841,0.7642977396044841,0.7642977396044841
김수혁_고지전_우진_올드보이,김수혁_고지전,우진_올드보이,3.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,1.0,,,0.0,,0.0,,,,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.7642977396044841,0.7642977396044841,0.7642977396044841,0.7642977396044841
김수혁_고지전_철수_내 머리 속의 지우개,김수혁_고지전,철수_내 머리 속의 지우개,3.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2928932188134524
김수혁_고지전_수진_내 머리 속의 지우개,김수혁_고지전,수진_내 머리 속의 지우개,3.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,1.0,,,,,,,,,0.0,,0.5,0.0,0.0,0.0,1.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
희봉_괴물_강두_괴물,희봉_괴물,강두_괴물,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,,1.0,1.0,0.0,,1.0,,,,,,0.75,0.0,1.0,0.0,1.0,0.4696699141100894,0.8232233047033631,0.4696699141100894,0.8232233047033631
