,char1,char2,global_cluster1,global_cluster2,monologue_cluster1,monologue_cluster2,onelistener_cluster1,onelistener_cluster2,multilistener_cluster1,multilistener_cluster2,survey1,survey2,survey3,survey4,survey5,survey6,survey7,survey8,survey9,survey10,survey11,survey_mean_score,global_cluster_comparison,monologue_cluster_comparison,onelistener_cluster_comparison,multilistener_cluster_comparison,global_cluster_performance,monologue_cluster_performance,onelistener_cluster_performance,multilistener_cluster_performance
도형_남극일기_익두_각설탕,도형_남극일기,익두_각설탕,3.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,,,,,,,1.0,,,,,1.0,0.0,0.0,0.0,0.0,0.2928932188134524,0.2928932188134524,0.2928932188134524,0.2928932188134524
도형_남극일기_김조교사_각설탕,도형_남극일기,김조교사_각설탕,3.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,,,,,,,1.0,,,,,1.0,0.0,0.0,0.0,0.0,0.2928932188134524,0.2928932188134524,0.2928932188134524,0.2928932188134524
도형_남극일기_민자_각설탕,도형_남극일기,민자_각설탕,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
도형_남극일기_철이_각설탕,도형_남극일기,철이_각설탕,3.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
도형_남극일기_철수_내 머리 속의 지우개,도형_남극일기,철수_내 머리 속의 지우개,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
도형_남극일기_수진_내 머리 속의 지우개,도형_남극일기,수진_내 머리 속의 지우개,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
도형_남극일기_주석_가족,도형_남극일기,주석_가족,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
도형_남극일기_정환_가족,도형_남극일기,정환_가족,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,,0.0,,,,,,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.5285954792089682,0.5285954792089682,0.5285954792089682,0.5285954792089682
도형_남극일기_정은_가족,도형_남극일기,정은_가족,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,1.0,,0.0,,,,,,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.7642977396044841,0.5285954792089682,0.7642977396044841,0.7642977396044841
도형_남극일기_나난_싱글즈,도형_남극일기,나난_싱글즈,3.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,,,1.0,,0.0,,,,,,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.7642977396044841,0.7642977396044841,0.5285954792089682,0.7642977396044841
도형_남극일기_동미_싱글즈,도형_남극일기,동미_싱글즈,3.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
도형_남극일기_정준_싱글즈,도형_남극일기,정준_싱글즈,3.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,,,1.0,,0.0,,,,,,1.0,0.6666666666666666,1.0,0.0,1.0,1.0,0.7642977396044841,0.5285954792089683,0.7642977396044841,0.7642977396044841
도형_남극일기_수헌_싱글즈,도형_남극일기,수헌_싱글즈,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,,,1.0,,0.0,,,,,,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.7642977396044841,0.7642977396044841,0.7642977396044841,0.7642977396044841
남일_괴물_남주_괴물,남일_괴물,남주_괴물,3.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,,1.0,,,,,,0.5,1.0,0.0,1.0,1.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
남일_괴물_고건수_끝까지 간다,남일_괴물,고건수_끝까지 간다,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,0.0,,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.2928932188134524,1.0,1.0
남일_괴물_박창민_끝까지 간다,남일_괴물,박창민_끝까지 간다,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,,,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
남일_괴물_대수_올드보이,남일_괴물,대수_올드보이,3.0,2.0,0.0,1.0,1.0,3.0,0.0,2.0,,0.0,,0.0,,1.0,,,,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.7642977396044841,0.7642977396044841,0.7642977396044841,0.7642977396044841
남일_괴물_미도_올드보이,남일_괴물,미도_올드보이,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,,0.0,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
남일_괴물_우진_올드보이,남일_괴물,우진_올드보이,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,,0.0,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
남일_괴물_주석_가족,남일_괴물,주석_가족,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,,1.0,0.0,,,,,,,,,0.5,0.0,0.0,0.0,0.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
남일_괴물_정환_가족,남일_괴물,정환_가족,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,,,,,,,,,0.5,1.0,1.0,1.0,1.0,0.6464466094067263,0.6464466094067263,0.6464466094067263,0.6464466094067263
남일_괴물_정은_가족,남일_괴물,정은_가족,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,1.0,1.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.2928932188134524,1.0,0.2928932188134524,0.2928932188134524
남일_괴물_나난_싱글즈,남일_괴물,나난_싱글즈,3.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,,,1.0,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.2928932188134524,0.2928932188134524,1.0,0.2928932188134524
남일_괴물_동미_싱글즈,남일_괴물,동미_싱글즈,3.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
남일_괴물_정준_싱글즈,남일_괴물,정준_싱글즈,3.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,,,1.0,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,0.2928932188134524,1.0,1.0
남일_괴물_수헌_싱글즈,남일_괴물,수헌_싱글즈,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,,,1.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.2928932188134524,0.2928932188134524,0.2928932188134524,0.2928932188134524
남주_괴물_고건수_끝까지 간다,남주_괴물,고건수_끝까지 간다,3.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,,,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
남주_괴물_박창민_끝까지 간다,남주_괴물,박창민_끝까지 간다,3.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,,,,0.0,,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.2928932188134524,1.0,1.0
남주_괴물_대수_올드보이,남주_괴물,대수_올드보이,3.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0,,1.0,,0.0,,0.0,,,,,,0.3333333333333333,0.0,0.0,0.0,0.0,0.7642977396044841,0.7642977396044841,0.7642977396044841,0.7642977396044841
남주_괴물_미도_올드보이,남주_괴물,미도_올드보이,3.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,,0.0,,0.0,,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.2928932188134524,1.0,1.0
남주_괴물_우진_올드보이,남주_괴물,우진_올드보이,3.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,,0.0,,0.0,,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.2928932188134524,1.0,1.0
남주_괴물_주석_가족,남주_괴물,주석_가족,3.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,,1.0,1.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.2928932188134524,1.0,0.2928932188134524,0.2928932188134524
남주_괴물_정환_가족,남주_괴물,정환_가족,3.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,1.0,0.0,1.0,1.0,0.2928932188134524,1.0,0.2928932188134524,0.2928932188134524
남주_괴물_정은_가족,남주_괴물,정은_가족,3.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,,1.0,1.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.2928932188134524,0.2928932188134524,0.2928932188134524,0.2928932188134524
남주_괴물_나난_싱글즈,남주_괴물,나난_싱글즈,3.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,,,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2928932188134524,1.0
남주_괴물_동미_싱글즈,남주_괴물,동미_싱글즈,3.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0,,,1.0,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.2928932188134524,1.0,0.2928932188134524,0.2928932188134524
남주_괴물_정준_싱글즈,남주_괴물,정준_싱글즈,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
남주_괴물_수헌_싱글즈,남주_괴물,수헌_싱글즈,3.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,,,1.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.2928932188134524,0.2928932188134524,0.2928932188134524,0.2928932188134524
화녀_다찌마와 Lee_충녀_다찌마와 Lee,화녀_다찌마와 Lee,충녀_다찌마와 Lee,2.0,0.0,3.0,2.0,3.0,3.0,1.0,3.0,,,,,,,1.0,0.0,0.0,,,0.3333333333333333,0.0,0.0,1.0,0.0,0.7642977396044841,0.7642977396044841,0.5285954792089682,0.7642977396044841
화녀_다찌마와 Lee_리_다찌마와 Lee,화녀_다찌마와 Lee,리_다찌마와 Lee,2.0,0.0,3.0,2.0,3.0,3.0,1.0,2.0,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2928932188134524,1.0
화녀_다찌마와 Lee_시은_각설탕,화녀_다찌마와 Lee,시은_각설탕,2.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,,,,,,,0.0,,,,,0.0,1.0,0.0,1.0,0.0,0.2928932188134524,1.0,0.2928932188134524,1.0
화녀_다찌마와 Lee_판돌_각설탕,화녀_다찌마와 Lee,판돌_각설탕,2.0,0.0,3.0,2.0,3.0,3.0,1.0,1.0,,,,,,,0.0,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2928932188134524,0.2928932188134524
화녀_다찌마와 Lee_익두_각설탕,화녀_다찌마와 Lee,익두_각설탕,2.0,0.0,3.0,2.0,3.0,3.0,1.0,1.0,,,,,,,0.0,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2928932188134524,0.2928932188134524
화녀_다찌마와 Lee_김조교사_각설탕,화녀_다찌마와 Lee,김조교사_각설탕,2.0,0.0,3.0,2.0,3.0,3.0,1.0,2.0,,,,,,,0.0,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2928932188134524,1.0
화녀_다찌마와 Lee_민자_각설탕,화녀_다찌마와 Lee,민자_각설탕,2.0,0.0,3.0,2.0,3.0,0.0,1.0,1.0,,,,,,,1.0,,,,,1.0,0.0,0.0,0.0,1.0,0.2928932188134524,0.2928932188134524,0.2928932188134524,1.0
화녀_다찌마와 Lee_철이_각설탕,화녀_다찌마와 Lee,철이_각설탕,2.0,0.0,3.0,2.0,3.0,3.0,1.0,1.0,,,,,,,0.0,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2928932188134524,0.2928932188134524
화녀_다찌마와 Lee_철수_내 머리 속의 지우개,화녀_다찌마와 Lee,철수_내 머리 속의 지우개,2.0,0.0,3.0,2.0,3.0,0.0,1.0,2.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
화녀_다찌마와 Lee_수진_내 머리 속의 지우개,화녀_다찌마와 Lee,수진_내 머리 속의 지우개,2.0,0.0,3.0,2.0,3.0,0.0,1.0,2.0,,,,,,,,1.0,,,,1.0,0.0,0.0,0.0,0.0,0.2928932188134524,0.2928932188134524,0.2928932188134524,0.2928932188134524
화녀_다찌마와 Lee_나난_싱글즈,화녀_다찌마와 Lee,나난_싱글즈,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,1.0,,,1.0,1.0,0.0,0.0,0.0,1.0,0.2928932188134524,0.2928932188134524,0.2928932188134524
화녀_다찌마와 Lee_동미_싱글즈,화녀_다찌마와 Lee,동미_싱글즈,2.0,0.0,3.0,2.0,3.0,3.0,1.0,2.0,,,,,,,,,1.0,,,1.0,0.0,0.0,1.0,0.0,0.2928932188134524,0.2928932188134524,1.0,0.2928932188134524
화녀_다찌마와 Lee_정준_싱글즈,화녀_다찌마와 Lee,정준_싱글즈,2.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
화녀_다찌마와 Lee_수헌_싱글즈,화녀_다찌마와 Lee,수헌_싱글즈,2.0,0.0,3.0,3.0,3.0,0.0,1.0,1.0,,,,,,,,,1.0,,,1.0,0.0,1.0,0.0,1.0,0.2928932188134524,1.0,0.2928932188134524,1.0
충녀_다찌마와 Lee_리_다찌마와 Lee,충녀_다찌마와 Lee,리_다찌마와 Lee,0.0,0.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,0.0,0.0,0.0,,,0.0,1.0,1.0,1.0,0.0,0.2928932188134524,0.2928932188134524,0.2928932188134524,1.0
충녀_다찌마와 Lee_시은_각설탕,충녀_다찌마와 Lee,시은_각설탕,0.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,,,,,,,0.0,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2928932188134524,1.0
충녀_다찌마와 Lee_판돌_각설탕,충녀_다찌마와 Lee,판돌_각설탕,0.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2928932188134524
충녀_다찌마와 Lee_익두_각설탕,충녀_다찌마와 Lee,익두_각설탕,0.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2928932188134524
충녀_다찌마와 Lee_김조교사_각설탕,충녀_다찌마와 Lee,김조교사_각설탕,0.0,0.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,0.0,,,,,0.0,1.0,1.0,1.0,0.0,0.2928932188134524,0.2928932188134524,0.2928932188134524,1.0
충녀_다찌마와 Lee_민자_각설탕,충녀_다찌마와 Lee,민자_각설탕,0.0,0.0,2.0,2.0,3.0,0.0,3.0,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.2928932188134524,0.2928932188134524
충녀_다찌마와 Lee_철이_각설탕,충녀_다찌마와 Lee,철이_각설탕,0.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,,,,,,,0.0,,,,,0.0,1.0,1.0,1.0,0.0,0.2928932188134524,0.2928932188134524,0.2928932188134524,1.0
충녀_다찌마와 Lee_철수_내 머리 속의 지우개,충녀_다찌마와 Lee,철수_내 머리 속의 지우개,0.0,0.0,2.0,2.0,3.0,0.0,3.0,2.0,,,,,,,,1.0,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.2928932188134524,0.2928932188134524
충녀_다찌마와 Lee_수진_내 머리 속의 지우개,충녀_다찌마와 Lee,수진_내 머리 속의 지우개,0.0,0.0,2.0,2.0,3.0,0.0,3.0,2.0,,,,,,,,1.0,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.2928932188134524,0.2928932188134524
충녀_다찌마와 Lee_나난_싱글즈,충녀_다찌마와 Lee,나난_싱글즈,0.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,,,,,,,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.2928932188134524,0.2928932188134524,0.2928932188134524,0.2928932188134524
충녀_다찌마와 Lee_동미_싱글즈,충녀_다찌마와 Lee,동미_싱글즈,0.0,0.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2928932188134524
충녀_다찌마와 Lee_정준_싱글즈,충녀_다찌마와 Lee,정준_싱글즈,0.0,3.0,2.0,2.0,3.0,1.0,3.0,0.0,,,,,,,,,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.2928932188134524,1.0,1.0
충녀_다찌마와 Lee_수헌_싱글즈,충녀_다찌마와 Lee,수헌_싱글즈,0.0,0.0,2.0,3.0,3.0,0.0,3.0,1.0,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,0.2928932188134524,1.0,1.0,1.0
리_다찌마와 Lee_시은_각설탕,리_다찌마와 Lee,시은_각설탕,0.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,,,,,,,0.0,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2928932188134524,0.2928932188134524
리_다찌마와 Lee_판돌_각설탕,리_다찌마와 Lee,판돌_각설탕,0.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2928932188134524
리_다찌마와 Lee_익두_각설탕,리_다찌마와 Lee,익두_각설탕,0.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2928932188134524
리_다찌마와 Lee_김조교사_각설탕,리_다찌마와 Lee,김조교사_각설탕,0.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
리_다찌마와 Lee_민자_각설탕,리_다찌마와 Lee,민자_각설탕,0.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,,,,,,,0.0,,,,,0.0,1.0,1.0,0.0,0.0,0.2928932188134524,0.2928932188134524,1.0,1.0
리_다찌마와 Lee_철이_각설탕,리_다찌마와 Lee,철이_각설탕,0.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,,,,,,,0.0,,,,,0.0,1.0,1.0,1.0,0.0,0.2928932188134524,0.2928932188134524,0.2928932188134524,1.0
리_다찌마와 Lee_철수_내 머리 속의 지우개,리_다찌마와 Lee,철수_내 머리 속의 지우개,0.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,,,,,,,,1.0,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2928932188134524,1.0
리_다찌마와 Lee_수진_내 머리 속의 지우개,리_다찌마와 Lee,수진_내 머리 속의 지우개,0.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,,,,,,,,0.0,,,,0.0,1.0,1.0,0.0,1.0,0.2928932188134524,0.2928932188134524,1.0,0.2928932188134524
리_다찌마와 Lee_나난_싱글즈,리_다찌마와 Lee,나난_싱글즈,0.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2928932188134524
리_다찌마와 Lee_동미_싱글즈,리_다찌마와 Lee,동미_싱글즈,0.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
리_다찌마와 Lee_정준_싱글즈,리_다찌마와 Lee,정준_싱글즈,0.0,3.0,2.0,2.0,3.0,1.0,2.0,0.0,,,,,,,,,1.0,,,1.0,0.0,1.0,0.0,0.0,0.2928932188134524,1.0,0.2928932188134524,0.2928932188134524
리_다찌마와 Lee_수헌_싱글즈,리_다찌마와 Lee,수헌_싱글즈,0.0,0.0,2.0,3.0,3.0,0.0,2.0,1.0,,,,,,,,,1.0,,,1.0,1.0,0.0,0.0,0.0,1.0,0.2928932188134524,0.2928932188134524,0.2928932188134524
시은_각설탕_판돌_각설탕,시은_각설탕,판돌_각설탕,2.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,,,,,,,0.0,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2928932188134524,1.0
시은_각설탕_익두_각설탕,시은_각설탕,익두_각설탕,2.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,,,,,,,0.0,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2928932188134524,1.0
시은_각설탕_김조교사_각설탕,시은_각설탕,김조교사_각설탕,2.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,,,,,,,0.0,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2928932188134524,0.2928932188134524
